Name,Released,ESRB,Rating,Genres,Platforms,Metacritic,Publishers,Tags,Description,ImageURL
Grand Theft Auto V,2013-09-17,Mature,4.47,Action,"PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One",92,Rockstar Games,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person, Third Person, Funny, Sandbox, Comedy, Third-Person Shooter, Moddable, Crime, vr mod","Rockstar Games went bigger, since their previous installment of the series. You get the complicated and realistic world-building from Liberty City of GTA4 in the setting of lively and diverse Los Santos, from an old fan favorite GTA San Andreas. 561 different vehicles (including every transport you can operate) and the amount is rising with every update. 
Simultaneous storytelling from three unique perspectives: 
Follow Michael, ex-criminal living his life of leisure away from the past, Franklin",https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg
The Witcher 3: Wild Hunt,2015-05-18,Mature,4.64,"Action, RPG","Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One",92,CD PROJEKT RED,"Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Fantasy, Sandbox, Action RPG, Dark, Nudity, controller support, Choices Matter, Dark Fantasy, Mature, Medieval, Magic, Multiple Endings","The third game in a series, it holds nothing back from the player. Open world adventures of the renowned monster slayer Geralt of Rivia are now even on a larger scale. Following the source material more accurately, this time Geralt is trying to find the child of the prophecy, Ciri while making a quick coin from various contracts on the side. Great attention to the world building above all creates an immersive story, where your decisions will shape the world around you.

CD Project Red are infamo",https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg
Portal 2,2011-04-18,Everyone 10+,4.59,"Shooter, Puzzle","PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One",95,"Electronic Arts, Valve","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Story Rich, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Funny, Female Protagonist, Comedy, Local Co-Op, stats, Steam Workshop, Space, Includes level editor, Captions available, Commentary available, Science","Portal 2 is a first-person puzzle game developed by Valve Corporation and released on April 19, 2011 on Steam, PS3 and Xbox 360. It was published by Valve Corporation in digital form and by Electronic Arts in physical form. 

Its plot directly follows the first game's, taking place in the Half-Life universe. You play as Chell, a test subject in a research facility formerly ran by the company Aperture Science, but taken over by an evil AI that turned upon its creators, GladOS. After defeating Gla",https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg
Counter-Strike: Global Offensive,2012-08-21,Mature,3.56,Shooter,"PC, Linux, Xbox 360, PlayStation 3",81,Valve,"Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, First-Person, FPS, Online Co-Op, Tactical, stats, Steam Workshop, PvP, Moddable, War, In-App Purchases, Realistic, Team-Based, Fast-Paced, Military, Competitive, Valve Anti-Cheat enabled, e-sports, Trading","Counter-Strike is a multiplayer phenomenon in its simplicity. No complicated narratives to explain the source of the conflict, no futuristic and alien threats, but counter-terrorists against terrorists. Arena shooter at its core, CS:GO provides you with various methods of disposing enemies and reliant on cooperation within the team. During the round of the classical clash mode, you will gradually receive currency to purchase different equipment. Each player can carry a primary weapon, secondary ",https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg
Tomb Raider (2013),2013-03-05,Mature,4.06,Action,"PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4",86,Square Enix,"Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Third Person, Exploration, Classic, Female Protagonist, Stealth, Action-Adventure, Third-Person Shooter, Retro, Cinematic, Quick-Time Events, Dinosaurs, Lara Croft","A cinematic revival of the series in its action third person form, Tomb Rider follows Lara in her least experience period of life  her youth. Heavily influenced by Naughty Dogs Uncharted, the game is a mix of everything, from stealth and survival to combat and QTE action scenes.
Young Lara Croft arrives on the Yamatai, lost island near Japan, as the leader of the expedition in search of the Yamatai Kingdom, with a diverse team of specialists. But shipwreck postponed the successful arrival a",https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
Portal,2007-10-09,Teen,4.49,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch",90,"Valve, Buka Entertainment, NVIDIA, CyberFront","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, FPS, Funny, Classic, Female Protagonist, Comedy, Includes level editor, Captions available, Short, Physics, Dark Humor, Commentary available, Includes Source SDK, Science","Every single time you click your mouse while holding a gun, you expect bullets to fly and enemies to fall. But here you will try out the FPS game filled with environmental puzzles and engaging story. 
Silent template for your adventures, Chell, wakes up in a testing facility. Shes a subject of experiments on instant travel device, supervised by snarky and hostile GLaDOS.
Players will have to complete the tests, room by room, expecting either reward, freedom or more tests. By using the gun, th",https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg
Left 4 Dead 2,2009-11-17,Mature,4.09,"Action, Shooter","Xbox 360, Linux, PC, macOS",89,"Electronic Arts, Valve, Akella","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative, First-Person, Horror, FPS, Online Co-Op, Gore, Survival, Local Co-Op, Tactical, stats, Steam Workshop, Zombies, Moddable, Survival Horror, Post-apocalyptic, Captions available, Replay Value, Team-Based, Valve Anti-Cheat enabled, Commentary available, Includes Source SDK","Cooperative survival continues with a different set of characters. New survivors are making their way through 5 campaigns with an added ability to play through the story of the first game as well, using not only expanded arsenal of 20 ranged and 10 melee weapons but improved AI Director. Your surroundings and weather will change; enemy and item placement will differ from map to map, from difficulty to difficulty. New unique special zombies, placed in the unlucky for the player spot, can end your",https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg
The Elder Scrolls V: Skyrim,2011-11-11,Mature,4.42,"Action, RPG","PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",94,Bethesda Softworks,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, Fantasy, Sandbox, Action RPG, Steam Workshop, role-playing, Moddable, Character Customization, Dark Fantasy, Medieval, Magic, Lore-Rich, Dragons","The fifth game in the series, Skyrim takes us on a journey through the coldest region of Cyrodiil. Once again player can traverse the open world RPG armed with various medieval weapons and magic, to become a hero of Nordic legends Dovahkiin, the Dragonborn. After mandatory character creation players will have to escape not only imprisonment but a fire-breathing dragon. Something Skyrim hasnt seen in centuries.",https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
Red Dead Redemption 2,2018-10-26,Mature,4.59,Action,"PC, PlayStation 4, Xbox One",96,Rockstar Games,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, FPS, Online Co-Op, Gore, Exploration, Sandbox, Violent, Third-Person Shooter, PvP, In-App Purchases, Mature, Realistic, Historical, Cinematic, Crime, Online PvP, 3rd-Person Perspective, Blood, America, Masterpiece, Beautiful, Hunting, Western, 3rd-person","America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. 

After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening inte",https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg
BioShock Infinite,2013-03-26,Mature,4.38,"Action, Shooter","PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One",94,"2K Games, Aspyr","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, FPS, Fantasy, Gore, Controller, Dystopian, Linear, Steampunk, Alternate History, Time Travel, Political","The third game in the series, Bioshock takes the story of the underwater confinement within the lost city of Rapture and takes it in the sky-city of Columbia. Players will follow Booker DeWitt, a private eye with a military past; as he will attempt to wipe his debts with the only skill hes good at  finding people. Aside from obvious story and style differences, this time Bioshock protagonist has a personality, character, and voice, no longer the protagonist is a silent man, trying to survive.
",https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg
